Rank,Name,Minimum Net Worth,Average,Maximum Net Worth,Chamber
357,Marcy Kaptur (D-Ohio),-110985.00,155006.00,420998.00,House
358,Sanford Bishop (D-Ga),87004.00,153502.00,220000.00,House
359,Scott Desjarlais (R-Tenn),-118987.00,153005.00,424998.00,House
360,Alex Mooney (R-WVa),39011.00,137005.00,235000.00,House
361,Richard Hudson (R-NC),14017.00,133008.00,252000.00,House
362,Jerrold Nadler (D-NY),32006.00,121003.00,210000.00,House
363,Pete Aguilar (D-Calif),34008.00,117504.00,201000.00,House
364,James Lankford (R-Okla),-159980.00,116509.00,392999.00,Senate
365,Donald M Payne Jr. (D-NJ),66005.00,116502.00,167000.00,House
366,Jack Reed (D-RI),-561945.00,107026.00,775998.00,Senate
367,Jody Hice (R-Ga),32005.00,101002.00,170000.00,House
368,Conor Lamb (D-Pa),1.00,100000.00,199999.00,House
369,Jeff Fortenberry (R-Neb),-4150991.00,97003.00,4344997.00,House
370,Gus Bilirakis (R-Fla),-273965.00,96016.00,465998.00,House
371,Mario Diaz-Balart (R-Fla),21009.00,81504.00,142000.00,House
372,Albio Sires (D-NJ),32004.00,81002.00,130000.00,House
373,Salud Carbajal (D-Calif),-37994.00,81002.00,199998.00,House
374,Steny H Hoyer (D-Md),50003.00,76001.00,102000.00,House
375,Jose E Serrano (D-NY),50001.00,75000.00,100000.00,House
376,Will Hurd (R-Texas),9009.00,72004.00,135000.00,House
377,Kathleen Rice (D-NY),-15994.00,64502.00,144999.00,House
378,Brian M Higgins (D-NY),8008.00,64004.00,120000.00,House
379,Mike Quigley (D-Ill),35001.00,62500.00,90000.00,House
380,Ron DeSantis (R-Fla),-11996.00,54001.00,119999.00,House
381,Troy Balderson (R-Ohio),17003.00,48501.00,80000.00,House
382,Steve Scalise (R-La),1.00,42500.00,84999.00,House
383,Norma Torres (D-Calif),-233995.00,41502.00,316999.00,House
384,Barry Loudermilk (R-Ga),16002.00,40501.00,65000.00,House
385,Rob Bishop (R-Utah),16002.00,40501.00,65000.00,House
386,Tom McClintock (R-Calif),16002.00,40501.00,65000.00,House
387,Sean P Duffy (R-Wis),-290990.00,39504.00,369998.00,House
388,Tulsi Gabbard (D-Hawaii),-508992.00,36003.00,580999.00,House
389,Tom Emmer (R-Minn),-134998.00,32500.00,199999.00,House
390,Louis B Gohmert Jr. (R-Texas),15001.00,32500.00,50000.00,House
391,Debbie Stabenow (D-Mich),15001.00,32500.00,50000.00,Senate
392,Betty McCollum (D-Minn),4004.00,32002.00,60000.00,House
393,John Lewis (D-Ga),1005.00,10002.00,19000.00,House
394,Paul Tonko (D-NY),1001.00,8000.00,15000.00,House
395,Jaime Herrera Beutler (R-Wash),1001.00,8000.00,15000.00,House
396,Adriano Espaillat (D-NY),1001.00,8000.00,15000.00,House
397,Clay Higgins (R-La),0.00,0.00,0.00,House
398,Rick Crawford (R-Ark),0.00,0.00,0.00,House
399,Gwen Moore (D-Wis),0.00,0.00,0.00,House
400,Amy Klobuchar (D-Minn),0.00,0.00,0.00,Senate
401,Lee Zeldin (R-NY),0.00,0.00,0.00,House
402,Gregory W Meeks (D-NY),0.00,0.00,0.00,House
403,Tim Ryan (D-Ohio),-164991.00,-1997.00,160997.00,House
404,Jason Smith (R-Mo),-1786970.00,-5490.00,1775990.00,House
405,Duncan D. Hunter (R-Calif),-15000.00,-12500.00,-10000.00,House
406,Andre Carson (D-Ind),-48999.00,-24500.00,-1.00,House
407,Eliot L Engel (D-NY),-182995.00,-31498.00,119999.00,House
408,Mike Johnson (R-La),-50000.00,-32500.00,-15001.00,House
409,Eric Swalwell (D-Calif),-113998.00,-37000.00,39998.00,House
410,Tony Cardenas (D-Calif),-299991.00,-47499.00,204992.00,House
411,John Katko (R-NY),-98999.00,-67000.00,-35001.00,House
412,Jenniffer Gonzalez (3-PR),-100000.00,-75000.00,-50001.00,House
413,Marc Veasey (D-Texas),-194993.00,-79498.00,35997.00,House
414,Patrick Leahy (D-Vt),-330992.00,-85496.00,159999.00,Senate
415,Stacey Plaskett (D-VI),-115000.00,-87500.00,-60001.00,House
416,Hank Johnson (D-Ga),-219998.00,-109999.00,-1.00,House
417,Mark Walker (R-NC),-165000.00,-110001.00,-55003.00,House
418,Brian Fitzpatrick (R-Pa),-678998.00,-124500.00,429997.00,House
419,Trent Kelly (R-Miss),-200000.00,-140001.00,-80003.00,House
420,Christopher S Murphy (D-Conn),-1069978.00,-149991.00,769996.00,Senate
421,Roger Wicker (R-Miss),-788986.00,-180995.00,426995.00,Senate
422,Sheila Jackson Lee (D-Texas),-681993.00,-181001.00,319991.00,House
423,Joni Ernst (R-Iowa),-783966.00,-196984.00,389998.00,Senate
424,Doug Collins (R-Ga),-747988.00,-246494.00,254999.00,House
425,Brian Schatz (D-Hawaii),-1242983.00,-554493.00,133997.00,Senate
426,Tim Scott (R-SC),-1862988.00,-1053997.00,-245007.00,Senate
427,Jim Langevin (D-RI),-3812969.00,-1078494.00,1655980.00,House
428,Bill Cassidy (R-La),-3001937.00,-1115970.00,769996.00,Senate
429,Marco Rubio (R-Fla),-1896988.00,-1262995.00,-629002.00,Senate
430,Todd Young (R-Ind),-1995994.00,-1392999.00,-790005.00,Senate
431,Bobby L Rush (D-Ill),-4499999.00,-2250000.00,-1.00,House
432,Emanuel Cleaver (D-Mo),-4623988.00,-2266995.00,89998.00,House
433,Alcee L Hastings (D-Fla),-12097998.00,-7549002.00,-3000006.00,House
