Rank,Name,Minimum Net Worth,Average,Maximum Net Worth,Chamber
214,Mo Brooks (R-Ala),527059.00,1191529.00,1856000.00,House
215,Jodey Arrington (R-Texas),616031.00,1190515.00,1765000.00,House
216,Steve Stivers (R-Ohio),591041.00,1181020.00,1771000.00,House
217,Brenda Lawrence (D-Mich),621021.00,1173010.00,1724999.00,House
218,Sean Patrick Maloney (D-NY),754006.00,1157003.00,1560000.00,House
219,Mike Doyle (D-Pa),531039.00,1153019.00,1774999.00,House
220,Tammy Baldwin (D-Wis),434008.00,1147003.00,1859998.00,Senate
221,Charles E Schumer (D-NY),370043.00,1122521.00,1874999.00,Senate
222,Glenn S Grothman (R-Wis),635015.00,1105007.00,1575000.00,House
223,Vicente Gonzalez (D-Texas),1090921.00,1090921.00,1090921.00,House
224,Paul Cook (R-Calif),629016.00,1070508.00,1512000.00,House
225,Ron Estes (R-Kan),489047.00,1055023.00,1621000.00,House
226,Ken Buck (R-Colo),416027.00,1053013.00,1689999.00,House
227,Paul Gosar (R-Ariz),650002.00,1050000.00,1449999.00,House
228,John Bergman (R-Mich),647010.00,1014005.00,1381000.00,House
229,Clarence Thomas,575009.00,1000004.00,1425000.00,Judicial
230,Joe Courtney (D-Conn),442045.00,987022.00,1532000.00,House
231,Lindsey Graham (R-SC),258046.00,969022.00,1679999.00,Senate
232,Cheri Bustos (D-Ill),532020.00,956010.00,1380000.00,House
233,Steve Chabot (R-Ohio),510027.00,955513.00,1401000.00,House
234,Bill Johnson (R-Ohio),417037.00,948518.00,1480000.00,House
235,Mike Crapo (R-Idaho),204044.00,944521.00,1684999.00,Senate
236,Evan Jenkins (R-WVa),399046.00,920023.00,1441000.00,House
237,Grace Napolitano (D-Calif),36012.00,913004.00,1789996.00,House
238,Steven Palazzo (R-Miss),172006.00,908501.00,1644997.00,House
239,Ted Deutch (D-Fla),357050.00,907525.00,1458000.00,House
240,Bennie G Thompson (D-Miss),469023.00,889511.00,1310000.00,House
241,Scott Perry (R-Pa),355019.00,877508.00,1399998.00,House
242,Mike Gallagher (R-Wis),466016.00,853007.00,1239999.00,House
243,Don Bacon (R-Neb),494013.00,852006.00,1210000.00,House
244,Cory Gardner (R-Colo),326038.00,850518.00,1374999.00,Senate
245,Hakeem Jeffries (D-NY),452024.00,841012.00,1230000.00,House
246,Val Demings (D-Fla),468008.00,824003.00,1179999.00,House
247,Daniel Webster (R-Fla),483008.00,814004.00,1145000.00,House
248,Tim Kaine (D-Va),409018.00,811008.00,1212999.00,Senate
249,Cory Booker (D-NJ),515006.00,807503.00,1100000.00,Senate
250,Bill Posey (R-Fla),432010.00,807004.00,1181999.00,House
251,John Shimkus (R-Ill),251007.00,803003.00,1354999.00,House
252,Maxine Waters (D-Calif),-3579987.00,793006.00,5165999.00,House
253,Rand Paul (R-Ky),170041.00,773520.00,1376999.00,Senate
254,Marcia L Fudge (D-Ohio),256011.00,773004.00,1289998.00,House
255,Kevin Brady (R-Texas),405026.00,766513.00,1128000.00,House
256,Patrick McHenry (R-NC),393015.00,765007.00,1137000.00,House
257,Jan Schakowsky (D-Ill),258036.00,749017.00,1239998.00,House
258,Nydia M Velazquez (D-NY),485001.00,737500.00,990000.00,House
259,Seth Moulton (D-Mass),180069.00,728534.00,1277000.00,House
260,G K Butterfield (D-NC),-255981.00,727007.00,1709995.00,House
261,Grace Meng (D-NY),139047.00,708522.00,1277998.00,House
262,David Rouzer (R-NC),369023.00,703011.00,1037000.00,House
263,Tammy Duckworth (D-Ill),139063.00,697531.00,1255999.00,Senate
